image_name,no.,comment
hc3443460885.jpg,0,一个穿着花衬衫和牛仔裤的女孩站在岩石海岸上，望着水面。
hc3443460885.jpg,1,一个小女孩站在多石的海岸上，望着外面的水。
hc3443460885.jpg,2,一个年轻的女孩站在多岩石的海滩上，看着海水。
hc3443460885.jpg,3,一个年轻的女孩站在岩石上凝视着大海。
hc3443460885.jpg,4,一个穿牛仔裤的小女孩站在海边。
hc3445428367.jpg,0,一个人站在砖架上，拍摄远处的景象。
hc3445428367.jpg,1,一个长头发的女人站在砖墙上，用摄像机指向天空。
hc3445428367.jpg,2,那个女人拿着摄像机，站在砖墙上。
hc3445428367.jpg,3,站在砖墙上拍照的女人。
hc3445428367.jpg,4,一个女人在拍照。
hc3447876218.jpg,0,那个人带着装备和帽子滑雪下斜坡。
hc3447876218.jpg,1,一个男人在雪覆盖的山上滑雪。
hc3447876218.jpg,2,一个穿灰色衣服的人滑雪下山。
hc3447876218.jpg,3,一个男人正在滑雪。
hc3447876218.jpg,4,滑雪青年下坡。
hc3450874870.jpg,0,男人和女人在雪山上搭滑雪缆车。
hc3450874870.jpg,1,两个人在山上滑雪。
hc3450874870.jpg,2,一个男人骑着滑雪缆车上山。
hc3450874870.jpg,3,两个人在升降椅上滑雪。
hc3450874870.jpg,4,两个男人坐在升降椅上。
hc3452982513.jpg,0,一个穿蓝色外套的男人，滑雪下山，在半空中跳跃。
hc3452982513.jpg,1,一个穿着蓝色衣服的人在滑雪板上跳跃。
hc3452982513.jpg,2,男子滑雪下山。
hc3452982513.jpg,3,滑雪者骑着雪橇下山。
hc3452982513.jpg,4,一个滑雪的家伙。
hc3454051143.jpg,0,一个赤裸上身，穿着泳衣的男人坐在装满水的泳池底部。
hc3454051143.jpg,1,一个男人在泳池里游泳的时候，在水下做了一个傻瓜脸。
hc3454051143.jpg,2,一个穿着蓝色泳裤的家伙在水下装死。
hc3454051143.jpg,3,一个男人坐在池底的水下。
hc3454051143.jpg,4,一个长着一张滑稽脸的水下男人。
hc3457572788.jpg,0,一个老人在晴朗的日子从山上滑下来。
hc3457572788.jpg,1,穿黑色裤子和外套的下坡滑雪者。
hc3457572788.jpg,2,一个人从雪坡上滑下来。
hc3457572788.jpg,3,一个男人从雪山上滑下来。
hc3457572788.jpg,4,一个穿蓝色高山滑雪服的男人。
hc3459578742.jpg,0,一个戴着手臂浮子的孩子，眼睛闭着，漂浮在干净的水体中。
hc3459578742.jpg,1,一个小孩在浮动，放松他们的背部，在一个广阔的水域。
hc3459578742.jpg,2,一个带着充气救生衣的小孩在水中享受着放松的一天。
hc3459578742.jpg,3,鲨鱼等待袭击飘浮着的小女孩
hc3459578742.jpg,4,一个漂浮在海上的女孩，在一个美丽的日子。
hc3461583471.jpg,0,一个滑雪运动员在洁白的雪地上表演跳跃。
hc3461583471.jpg,1,一个人正在滑雪板上跳斜坡。
hc3461583471.jpg,2,买家就是在滑雪板上磨铁轨。
hc3461583471.jpg,3,一个滑雪者滑过斜坡。
hc3461583471.jpg,4,滑雪者滑下斜坡。
hc3474139683.jpg,0,一个金发女孩，身穿白色衬衫和深色牛仔裤，手里拿着一个黄白相间的球。
hc3474139683.jpg,1,一个穿着白色背心，戴着红色太阳镜，手里拿着排球的女人。
hc3474139683.jpg,2,一个穿白衬衫的女人在打排球。
hc3474139683.jpg,3,和朋友打球的女人。
hc3474139683.jpg,4,一个女人拿着排球。
hc3475552729.jpg,0,一个戴着灰色帽子的男孩在红色的墙边拿着一个足球。
hc3475552729.jpg,1,一个穿着蓝色衬衫戴着帽子的孩子拿着一个足球。
hc3475552729.jpg,2,一个戴着帽子穿着大衣拿着一个大球的小孩。
hc3475552729.jpg,3,一个小男孩拿着一个足球。
hc3475552729.jpg,4,一个小男孩拿着一个足球。
hc3479602778.jpg,0,一个穿着白色夹克的老妇人走过一堵用凯恩支撑自己的砖墙。
hc3479602778.jpg,1,一个拿着拐杖和手提包的老太太走在人行道上。
hc3479602778.jpg,2,一个老妇人拄着拐杖走在砖墙前。
hc3479602778.jpg,3,一个老妇人拄着拐杖走在墙边。
hc3479602778.jpg,4,一个老太太拄着拐杖走在人行道上。
hc3481884992.jpg,0,在冲浪板上冲大浪的人。
hc3481884992.jpg,1,一个穿着黑色潜水服的男人站在冲浪板上。
hc3481884992.jpg,2,冲浪者能捕捉到大小适中的波浪。
hc3481884992.jpg,3,一个黑衣人在冲浪。
hc3481884992.jpg,4,一个冲浪者在海浪上。
hc3485240754.jpg,0,一个穿着蓝色裤子和白色衬衫的人从五颜六色的草地上的泥土圆圈中走开。
hc3485240754.jpg,1,一个穿白衬衫，蓝牛仔裤，戴棒球手套的女孩走下投手丘。
hc3485240754.jpg,2,一个穿着白色棒球衫的年轻女孩在球场中央玩游戏。
hc3485240754.jpg,3,一个女孩在棒球比赛中投出第一球后从投手板上走下来。
hc3485240754.jpg,4,一个女孩正从投手区走开。
hc3488837187.jpg,0,一个金发小孩手里拿着一个柔软的红黄色足球。
hc3488837187.jpg,1,一个小男孩抓着自己的头发，手里拿着一个红黄相间的球。
hc3488837187.jpg,2,一个小男孩看着一个黄红相间的足球。
hc3488837187.jpg,3,一个小孩拿着一个黄红相间的足球玩具。
hc3488837187.jpg,4,一个小孩拿着一个塞满了东西的足球。
hc3493844822.jpg,0,一个年轻人站在白色的冲浪板上，跳过一个巨浪。
hc3493844822.jpg,1,一名皮肤晒黑的尾波冲浪者正在高空跳跃。
hc3493844822.jpg,2,一个男冲浪者在空中，离开水面。
hc3493844822.jpg,3,一个空降兵在冲浪板上。
hc3493844822.jpg,4,一个男人在冲浪。
hc3494723363.jpg,0,一个穿黑色潜水服的男人在海里冲浪。
hc3494723363.jpg,1,一个男人在冲浪板上冲浪。
hc3494723363.jpg,2,一个穿着潜水服的男人站在冲浪板上。
hc3494723363.jpg,3,一个穿着潜水服的男人在冲浪。
hc3494723363.jpg,4,冲浪者在冲浪。
hc3517362674.jpg,0,一个小女孩闭上眼睛，用气泡棒吹气。
hc3517362674.jpg,1,一个年轻的女孩正在用橙色的泡泡棒吹泡泡。
hc3517362674.jpg,2,一个小女孩吹了一个橙色的泡泡棒。
hc3517362674.jpg,3,一个深色头发的小女孩在吹泡泡。
hc3517362674.jpg,4,一个女孩在大力吹泡泡。
hc3518365400.jpg,0,一个刚会走路的小孩在玩沙子，在沙滩上把一把沙子抛向空中。
hc3518365400.jpg,1,一个穿着绿色外套，蓝色牛仔裤和粉红色靴子的小孩朝海里扔沙子。
hc3518365400.jpg,2,小女孩在潮湿的沙滩上玩耍。
hc3518365400.jpg,3,一个年轻的女孩把沙子扔向大海。
hc3518365400.jpg,4,一个穿绿色外套的女孩在扔沙子。
